timestamp,ear,mar,status
1776423804.6590533,0.1751,0.4515,ALERT
1776423804.708676,0.1942,0.4632,ALERT
1776423804.7356362,0.1887,0.4441,ALERT
1776423804.7686255,0.1978,0.4639,ALERT
1776423804.7807152,0.1702,0.456,ALERT
1776423804.7959492,0.1747,0.4561,ALERT
1776423804.8489516,0.1366,0.4603,ALERT
1776423804.862963,0.155,0.4542,ALERT
1776423804.9156532,0.1161,0.4539,ALERT
1776423804.9409213,0.1294,0.4618,ALERT
1776423804.9799087,0.1207,0.4442,ALERT
1776423805.0400317,0.1445,0.4626,ALERT
1776423805.0590334,0.1419,0.472,ALERT
1776423806.1066926,0.1408,0.4576,DROWSY
1776423806.1538777,0.1498,0.4624,DROWSY
1776423806.1804047,0.2642,0.4611,DROWSY
1776423806.243939,0.4221,0.4438,ALERT
1776423806.2719407,0.3595,0.4683,ALERT
1776423806.3244987,0.4378,0.4649,ALERT
1776423806.3464947,0.4245,0.4658,ALERT
1776423806.3730578,0.4207,0.4665,ALERT
1776423806.3905816,0.3067,0.4544,ALERT
1776423806.406546,0.2971,0.4445,ALERT
1776423806.4493194,0.3952,0.4648,ALERT
1776423806.467329,0.3907,0.4562,ALERT
1776423806.5138488,0.3853,0.4692,ALERT
1776423806.5268493,0.3938,0.4558,ALERT
1776423806.5743678,0.4435,0.4826,ALERT
1776423806.6415699,0.4097,0.4503,ALERT
1776423806.66258,0.4221,0.455,ALERT
1776423806.679122,0.4535,0.4368,ALERT
1776423806.7211227,0.447,0.4518,ALERT
1776423806.7341256,0.4284,0.4539,ALERT
1776423806.7866926,0.4019,0.4566,ALERT
1776423806.8056931,0.4223,0.4694,ALERT
1776423806.8486948,0.4292,0.4681,ALERT
1776423806.8617039,0.4376,0.4692,ALERT
1776423806.9142303,0.4476,0.4555,ALERT
1776423806.9392278,0.4564,0.4696,ALERT
1776423806.9742804,0.4647,0.4555,ALERT
1776423807.0396762,0.4547,0.4518,ALERT
1776423807.0616896,0.4746,0.4518,ALERT
1776423807.0772169,0.4703,0.4518,ALERT
1776423807.120385,0.498,0.4656,ALERT
1776423807.1373901,0.504,0.4656,ALERT
1776423807.1829088,0.5222,0.4776,ALERT
1776423807.2009547,0.4939,0.4656,ALERT
1776423807.2489038,0.4918,0.4523,ALERT
1776423807.262943,0.4922,0.4523,ALERT
1776423807.311453,0.4858,0.4714,ALERT
1776423807.324448,0.5243,0.4707,ALERT
1776423807.3769925,0.5268,0.4555,ALERT
1776423807.460194,0.5408,0.47,ALERT
1776423807.4737191,0.5485,0.4656,ALERT
1776423807.4927223,0.5137,0.4566,ALERT
1776423807.5207183,0.4962,0.452,ALERT
1776423807.539718,0.5072,0.452,ALERT
1776423807.584242,0.4797,0.452,ALERT
1776423807.6012514,0.5007,0.4707,ALERT
1776423807.6475153,0.5206,0.4769,ALERT
1776423807.661535,0.5117,0.4452,ALERT
1776423807.713744,0.4856,0.4533,ALERT
1776423807.7397428,0.5335,0.4533,ALERT
1776423807.7759867,0.5408,0.4542,ALERT
1776423807.7999825,0.5113,0.4542,ALERT
1776423807.8569875,0.5169,0.4473,ALERT
1776423807.8770747,0.5191,0.452,ALERT
1776423807.9206052,0.4704,0.4473,ALERT
1776423807.9389093,0.4427,0.4562,ALERT
1776423807.9844084,0.5135,0.4656,ALERT
1776423808.000411,0.5043,0.4533,ALERT
1776423808.0520015,0.493,0.4542,ALERT
1776423808.0660105,0.493,0.4666,ALERT
1776423808.1180713,0.5117,0.4763,ALERT
1776423808.1320689,0.4689,0.4763,ALERT
1776423808.1816103,0.471,0.4837,ALERT
1776423808.1966128,0.471,0.4714,ALERT
1776423808.258621,0.4751,0.46,ALERT
1776423808.2751486,0.4953,0.4591,ALERT
1776423808.3241541,0.4924,0.4459,ALERT
1776423808.3401544,0.471,0.4571,ALERT
1776423808.3905363,0.4636,0.452,ALERT
1776423808.4085371,0.4623,0.4581,ALERT
1776423808.4522023,0.4827,0.4721,ALERT
1776423808.4682164,0.4827,0.4721,ALERT
1776423808.5162778,0.5085,0.4647,ALERT
1776423808.5422766,0.5125,0.4697,ALERT
1776423808.593732,0.4925,0.4581,ALERT
1776423808.6170793,0.4826,0.4581,ALERT
1776423808.6600986,0.4796,0.4581,ALERT
1776423808.6754153,0.5117,0.4704,ALERT
1776423808.7254124,0.5225,0.4591,ALERT
1776423808.7424185,0.5007,0.4727,ALERT
1776423808.7889395,0.4319,0.4471,ALERT
1776423808.8059392,0.4928,0.4471,ALERT
1776423808.8529358,0.4924,0.4591,ALERT
1776423808.867951,0.4743,0.4581,ALERT
1776423808.918476,0.4804,0.4837,ALERT
1776423808.9334767,0.4818,0.4581,ALERT
1776423808.9989207,0.4885,0.4581,ALERT
1776423809.0289218,0.4564,0.46,ALERT
1776423809.0599427,0.5225,0.4591,ALERT
1776423809.0754693,0.5148,0.4591,ALERT
1776423809.1206415,0.471,0.4833,ALERT
1776423809.1346374,0.4999,0.4581,ALERT
1776423809.1841788,0.4671,0.4591,ALERT
1776423809.2111833,0.4656,0.4471,ALERT
1776423809.2521796,0.408,0.4721,ALERT
1776423809.267191,0.4105,0.4721,ALERT
1776423809.3167176,0.322,0.4553,ALERT
1776423809.3307195,0.3313,0.4675,ALERT
1776423809.3942637,0.3791,0.4704,ALERT
1776423809.40926,0.4018,0.4483,ALERT
1776423809.4584174,0.4238,0.4591,ALERT
1776423809.486004,0.3963,0.4651,ALERT
1776423809.5230026,0.4596,0.4617,ALERT
1776423809.5460052,0.4278,0.4728,ALERT
1776423809.5855463,0.4095,0.4651,ALERT
1776423809.6075454,0.4095,0.4564,ALERT
1776423809.6515446,0.4433,0.4435,ALERT
1776423809.6675546,0.4381,0.4668,ALERT
1776423809.7312944,0.4496,0.4643,ALERT
1776423809.747299,0.4757,0.4675,ALERT
1776423809.7971702,0.4947,0.4724,ALERT
1776423809.8131666,0.4859,0.4547,ALERT
1776423809.861183,0.4244,0.4684,ALERT
1776423809.8777146,0.4591,0.4782,ALERT
1776423809.9277153,0.4755,0.4609,ALERT
1776423809.942902,0.4868,0.46,ALERT
1776423809.9882376,0.47,0.4428,ALERT
1776423810.003241,0.5047,0.4657,ALERT
1776423810.0512435,0.4928,0.4596,ALERT
1776423810.0652487,0.4928,0.4724,ALERT
1776423810.1313565,0.471,0.4545,ALERT
1776423810.148352,0.4472,0.4559,ALERT
1776423810.1974418,0.4514,0.4591,ALERT
1776423810.211441,0.4596,0.4675,ALERT
1776423810.260448,0.4271,0.4675,ALERT
1776423810.2759697,0.438,0.4547,ALERT
1776423810.3249717,0.4818,0.4714,ALERT
1776423810.340972,0.4896,0.4577,ALERT
1776423810.3925161,0.4637,0.4577,ALERT
1776423810.4085133,0.4637,0.4711,ALERT
1776423810.4707792,0.4751,0.4571,ALERT
1776423810.486308,0.5098,0.4571,ALERT
1776423810.5323062,0.5005,0.4581,ALERT
1776423810.546304,0.5005,0.4535,ALERT
1776423810.5978649,0.4861,0.4667,ALERT
1776423810.6118636,0.4823,0.4667,ALERT
1776423810.662882,0.5043,0.4581,ALERT
1776423810.6773975,0.5043,0.4581,ALERT
1776423810.726403,0.5112,0.4424,ALERT
1776423810.7423978,0.5009,0.479,ALERT
1776423810.7891984,0.5031,0.451,ALERT
1776423810.8031976,0.5062,0.4545,ALERT
1776423810.867207,0.4921,0.4684,ALERT
1776423810.8817408,0.5166,0.4536,ALERT
1776423810.9317374,0.4033,0.4615,ALERT
1776423810.946297,0.47,0.4435,ALERT
1776423810.9958613,0.4518,0.4517,ALERT
1776423811.0148573,0.4511,0.4723,ALERT
1776423811.0618694,0.4345,0.4568,ALERT
1776423811.0794063,0.3907,0.4572,ALERT
1776423811.1269433,0.2678,0.4616,ALERT
1776423811.140943,0.233,0.4745,ALERT
1776423811.1907206,0.1607,0.4551,ALERT
1776423811.2067194,0.1557,0.4462,ALERT
1776423811.2703032,0.1781,0.4517,ALERT
1776423811.2858384,0.1384,0.4537,ALERT
1776423811.3325799,0.2438,0.4505,ALERT
1776423811.349898,0.2229,0.4706,ALERT
1776423811.396439,0.2422,0.4525,ALERT
1776423811.412441,0.2509,0.4529,ALERT
1776423811.4634533,0.2608,0.4637,ALERT
1776423811.479986,0.2474,0.465,ALERT
1776423811.5259855,0.2443,0.457,ALERT
1776423811.547991,0.277,0.4661,ALERT
1776423811.6045394,0.3077,0.4499,ALERT
1776423811.619539,0.3023,0.4583,ALERT
1776423811.667732,0.3197,0.4627,ALERT
1776423811.68326,0.3286,0.4653,ALERT
1776423811.732265,0.3213,0.4632,ALERT
1776423811.7462604,0.3335,0.4632,ALERT
1776423811.7968006,0.3314,0.4572,ALERT
1776423811.8651204,0.3395,0.457,ALERT
1776423811.8804402,0.3595,0.4604,ALERT
1776423811.895441,0.353,0.4614,ALERT
1776423811.9264472,0.3777,0.4661,ALERT
1776423811.9424438,0.3593,0.4593,ALERT
1776423812.001017,0.3951,0.4637,ALERT
1776423812.0160258,0.3752,0.4625,ALERT
1776423812.0642023,0.3921,0.4623,ALERT
1776423812.0807202,0.4036,0.4582,ALERT
1776423812.1287167,0.4004,0.4563,ALERT
1776423812.154717,0.4176,0.4558,ALERT
1776423812.1948597,0.4219,0.4531,ALERT
1776423812.2148619,0.4272,0.462,ALERT
1776423812.2558587,0.4126,0.4589,ALERT
1776423812.274892,0.3966,0.4654,ALERT
1776423812.3194194,0.3959,0.4686,ALERT
1776423812.3354218,0.404,0.4667,ALERT
1776423812.4011655,0.3935,0.4627,ALERT
1776423812.4301739,0.4016,0.4516,ALERT
1776423812.4641762,0.3899,0.4624,ALERT
1776423812.4887025,0.3837,0.4677,ALERT
1776423812.5294797,0.3517,0.4617,ALERT
1776423812.5494792,0.3617,0.4652,ALERT
1776423812.5940452,0.31,0.4577,ALERT
1776423812.6120422,0.3145,0.4591,ALERT
1776423812.6580427,0.2649,0.4439,ALERT
1776423812.6730547,0.2755,0.4558,ALERT
1776423812.7374382,0.2523,0.4566,ALERT
1776423812.7494364,0.263,0.4576,ALERT
1776423812.8019702,0.221,0.4576,ALERT
1776423812.8139763,0.2472,0.4553,ALERT
1776423812.866988,0.1849,0.4455,ALERT
1776423812.8850787,0.1885,0.4515,ALERT
1776423812.9300745,0.1452,0.4479,ALERT
1776423812.9460716,0.1512,0.46,ALERT
1776423812.9936264,0.1758,0.4571,ALERT
1776423813.008626,0.1772,0.4566,ALERT
1776423813.0568094,0.1255,0.4559,ALERT
1776423813.0688217,0.1345,0.4557,ALERT
1776423813.1373522,0.1748,0.4507,ALERT
1776423813.163361,0.165,0.4597,ALERT
1776423813.2011287,0.1758,0.4579,ALERT
1776423813.2141302,0.1499,0.45,ALERT
1776423813.264373,0.137,0.4483,ALERT
1776423813.2854788,0.1426,0.4559,ALERT
1776423813.3304796,0.1352,0.4718,ALERT
1776423813.3504803,0.1853,0.4624,ALERT
1776423813.393861,0.1442,0.4529,ALERT
1776423813.4088638,0.1475,0.4538,ALERT
1776423813.4578598,0.173,0.4616,ALERT
1776423813.486413,0.1482,0.4616,ALERT
1776423813.536584,0.1182,0.452,ALERT
1776423813.562577,0.1188,0.4612,ALERT
1776423813.6021194,0.0688,0.4616,ALERT
1776423813.6251185,0.0904,0.4616,ALERT
1776423814.6813748,0.1093,0.4511,DROWSY
1776423814.7096372,0.2553,0.4616,ALERT
1776423814.7377017,0.2398,0.4605,ALERT
1776423814.7527015,0.2454,0.47,ALERT
1776423814.799702,0.2454,0.4607,ALERT
1776423814.815714,0.2454,0.4519,ALERT
1776423814.8662465,0.2611,0.4519,ALERT
1776423814.8912406,0.2607,0.4519,ALERT
1776423814.930926,0.2495,0.4623,ALERT
1776423814.9510384,0.2395,0.4615,ALERT
1776423814.9699788,0.2402,0.4616,ALERT
1776423815.0130074,0.2395,0.4706,ALERT
1776423815.0737717,0.2311,0.4616,ALERT
1776423815.0917706,0.2308,0.4616,ALERT
1776423815.1382134,0.2448,0.4608,ALERT
1776423815.1672182,0.2491,0.451,ALERT
1776423815.2054386,0.2558,0.4519,ALERT
1776423815.219959,0.2558,0.4608,ALERT
1776423815.2664242,0.2569,0.4616,ALERT
1776423815.2894247,0.2569,0.4616,ALERT
1776423815.3319652,0.2427,0.4616,ALERT
1776423815.3459666,0.2325,0.452,ALERT
1776423815.3609753,0.2377,0.452,ALERT
1776423815.4099822,0.2325,0.452,ALERT
1776423815.4745097,0.2325,0.4709,ALERT
1776423815.4875455,0.2325,0.4445,ALERT
1776423815.5392716,0.2313,0.4535,ALERT
1776423815.5535212,0.2311,0.4715,ALERT
1776423815.6007273,0.2174,0.4616,ALERT
1776423815.613739,0.222,0.4616,ALERT
1776423815.665264,0.2174,0.4616,ALERT
1776423815.6904418,0.2174,0.4616,ALERT
1776423815.7450004,0.2254,0.452,ALERT
1776423815.7659934,0.2254,0.4616,ALERT
1776423815.7819917,0.2244,0.4616,ALERT
1776423815.812,0.2238,0.4623,ALERT
1776423815.8735285,0.2198,0.4613,ALERT
1776423815.88853,0.2298,0.4613,ALERT
1776423815.9400694,0.2204,0.4608,ALERT
1776423815.9640718,0.2098,0.4613,ALERT
1776423816.0000691,0.2338,0.4715,ALERT
1776423816.0257626,0.2257,0.462,ALERT
1776423816.0657752,0.2341,0.462,ALERT
1776423816.0857673,0.2304,0.4717,ALERT
1776423816.0997627,0.2304,0.4717,ALERT
1776423816.1443405,0.1406,0.462,ALERT
1776423816.2064705,0.1985,0.454,ALERT
1776423816.2250147,0.195,0.4548,ALERT
1776423816.275008,0.215,0.4633,ALERT
1776423816.3020115,0.2048,0.4626,ALERT
1776423816.3369787,0.2154,0.4458,ALERT
1776423816.358976,0.2154,0.4538,ALERT
1776423816.400975,0.2096,0.4546,ALERT
1776423816.4215083,0.2204,0.463,ALERT
1776423816.46715,0.2298,0.4608,ALERT
1776423816.4866738,0.2348,0.4708,ALERT
1776423816.5009193,0.2291,0.4516,ALERT
1776423816.549711,0.2462,0.4413,ALERT
1776423816.5627127,0.2625,0.4491,ALERT
1776423816.61273,0.2695,0.4501,ALERT
1776423816.67729,0.3293,0.4529,ALERT
1776423816.701287,0.3093,0.4623,ALERT
1776423816.741235,0.3045,0.4599,ALERT
